EventsPK	IncidentID	Event_Year	Event_Month	Event_Day	Event_Hour	Event_Minute	EventBegin_Year	EventBegin_Month	EventBegin_Day	EventBegin_Hour	EventBegin_Minute	EventEnd_Year	EventEnd_Month	EventEnd_Day	EventEnd_Hour	EventEnd_Minute	IncidentDescription	IncidentDescriptionTracking	Location_Country	Location_Province	Location_City	Leftist_Organization	Rightist_Organization	Religious_Organization	Ethnic_Organization	Separatist_Organization	Environmentalist_Organization	Supremacist_Organization	Anarchist_Organization	Antiglobalization_Organization	Vigilante_Organization	Criminal_Organization	NoPerpetrators	Emigre	Perpetrators_Primary	Perpetrators_Secondary	EventTypeID	WeaponTypeID1	WeaponTypeID2	WeaponSubTypeID1	WeaponSubTypeID2	TargetID1	TargetID2	TargetID3	TargetSubTypeID1	TargetSubTypeID2	TargetSubTypeID3	CanadianTarget	SuicideAttack	Fatalities	Injuries	PerpetratorFatalities	PerpetratorInjuries	IncidentSuccessful	Hoax	CanadianVictim	CanadianPerpetrator	ViolentExtremism	DoubtTerror	Alternative	Latitude	Longitude	OriginalSource	Reference1	Reference2	Reference3	Reference4	Reference5	Reference6	Reference7
13440	19670408090303001	1967	4	8	8	0				8	0						"04/08/1967: A home-made device set off a three and a half inch rocket launcher (""bazooka"") in front of the Cuban Embassy in Ottawa around 8:00 a.m. The missile tore away a chunk of sidewalk and every front window was shattered. No one was injured. A metal rocket housing found intact bore the scratched Spanish inscription: ""Asociacion Nationalista Cubana."" Army explosives experts defused a second rocket found live and unexploded in the street. It appeared that the rockets and timing mechanism had been left in a suitcase on a car rack of a rented car parked on the street. The Cuban Nationalist Movement in Miami, Florida, which opposes Fidel Castro's regime, claimed responsibility. The head of the association said the job was done in Canada because of an ""insulting and provocative attitude"" to the positions of Cubans ""enslaved by International Communism."""	0	Canada	Ontario	Ottawa	Does not adhere to the ideology	Does adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	-88	1	Cuban Nationalist Movement (anti-Castro)		Bombing/Explosion	Explosives/Bombs/Dynamite		Projectile (rockets, mortars, RPGs)		Diplomatic			Diplomats/Families/Individuals (outside of embassy)			No	No	0	0	0	0	Yes	No	-99	-99		No				"Mickolus, 1980: 71; Sawatsky, 1980: 3; Jackson, et al., 1978: 299; The Gazette, 23 Sept 1966, 1; Journal de Montreal, 23 Sept 1966, 6; Journal de Montreal, 24 Sept 1966, 10"	"Kellett, A., Beanlands, B., Deacon, J., Jeffrey, H., & Lapalme, C. (1991). Terrorism in Canada 1960-1989, User Report no. 1990-16. Ottawa: Solicitor General Canada, National Security Coordination Centre, Police and Security Branch. p. 172; 369."							
13441	19670522110302001	1967	5	22													"05/22/1967: A small bomb exploded in the early hours at a Queen Mary Rd. flower shop. The store had received threatening calls several days before the explosion, and the day after it received a letter demanding that it put all advertising on its trucks in French and change its stationary to French."	0	Canada	Quebec	Montreal	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	-88	0	Front de Libération du Québec (FLQ)		Bombing/Explosion	Explosives/Bombs/Dynamite		Unknown Explosive Type		Business			Retail/Grocery/Bakery (including cell phone shops and generic shops)			Yes	No	0	0	0	0	Yes	No	-99	-99		No				"The Montreal Star, 9 Sept 1968, 6; The Montreal Star, 3 Sept 1968, 8; The Gazette, 23 May 1967, 3"	"Kellett, A., Beanlands, B., Deacon, J., Jeffrey, H., & Lapalme, C. (1991). Terrorism in Canada 1960-1989, User Report no. 1990-16. Ottawa: Solicitor General Canada, National Security Coordination Centre, Police and Security Branch. p. 246."	"Ross, Jeffrey I. (1992). ATIC IV: Chronology of Domestic and International Terrorist Events in Canada, 1960-1990. Montreal, Qc: International Centre for Comparative Criminology. p. 36"						
13442	19670727110306001	1967	7	27	11	40				11	40						"07/27/1967: At 11:40 a.m. an anonymous telephone caller, identifying himself as a Front de Liberation du Quebec (FLQ) member, told police that bombs had been planted at city hall in south shore Greenfield Park and in local mailboxes. Police came across an Expo 1967 flight bag in the vestibule of the city hall building. An improvised bomb inside it was exploded in a nearby park by a Canadian Army specialist. He thought that it probably could not have exploded, and noted that it did not add much, if anything, to the force of the plastic charge he used. Nothing was found in the mailboxes."	0	Canada	Quebec	Montreal	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	-88	0	Front de Libération du Québec (FLQ)		Bombing/Explosion	Explosives/Bombs/Dynamite		Unknown Explosive Type		Government			Government Buildings/Facilities			Yes	No	0	0	0	0	No	Yes	-99	-99		No				"Fournier, 1984: 113; The Gazette, 28 July 1967, 3"	"Kellett, A., Beanlands, B., Deacon, J., Jeffrey, H., & Lapalme, C. (1991). Terrorism in Canada 1960-1989, User Report no. 1990-16. Ottawa: Solicitor General Canada, National Security Coordination Centre, Police and Security Branch. p. 369."							
13443	19670727110310001	1967	7	27	23	40				23	40						"07/27/1967: At 11:40 p.m. a bomb consisting of ten sticks of dynamite, placed in a shoe box, exploded in a wooden refuse box behind the Canadian Army Recruiting Centre on Sherbrooke St. West. The explosion killed the night watchman, who became the first victim of the Front de Liberation du Quebec (FLQ). About an hour before the incident an anonymous caller told the Canadian Press that the FLQ's ""Operation Jean Lesage"" was continuing as announced, and the slogan ""Vive Ie Quebec Libre"" was scrawled on a telephone booth near the site of the accident. An FLQ statement claimed responsibility, but argued that the watchman's death was ""an untoward accident."" Apparently the bombers had initially targeted a statue of Sir John A. Macdonald in Dominion Square, but were deterred by the presence of too many people. Five members of the FLQ were sentenced to jail terms ranging from six to 12 years for the bombing."	0	Canada	Quebec	Montreal	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	5	0	Front de Libération du Québec (FLQ)		Bombing/Explosion	Explosives/Bombs/Dynamite		Unknown Explosive Type		Military			Military Recruiting Station/Academy			Yes	No	1	0	0	0	Yes	No	-99	-99		No				"Fournier, 1984: 36; Morf, 1970: 5,6; The Gazette, 22 Apr 1963, 1,2; The Gazette, 10 May 1963, 2; The Gazette, 3 June 1963, 1; The Gazette, 12 June 1963, 1,2; The Gazette, 8 Oct 1963, 1,2; Daily Colonist, 22 Apr 1963, 3; Daily Colonist, 9 May 1963, 1; La Presse, 22 Apr 1963, 1,2; New York Times, 8 Oct 1963"	"Kellett, A., Beanlands, B., Deacon, J., Jeffrey, H., & Lapalme, C. (1991). Terrorism in Canada 1960-1989, User Report no. 1990-16. Ottawa: Solicitor General Canada, National Security Coordination Centre, Police and Security Branch. p. 229."							
13444	19670904090303001	1967	9	4													"09/04/1967: A U.S. made four-pound rocket, capable of boring a hole through a brick wall, yet with no explosive on it, the two and a half foot rocket was discovered in a brown leather suitcase was found in a lane adjoining the Cuban Embassy in Ottawa - it was aimed at the Embassy. Dismantled by army experts. Timing apparatus failed. Cuban Nationalist Association claimed responsibility."	0	Canada	Ontario	Ottawa	Does not adhere to the ideology	Does adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	-88	1	Cuban Nationalist Movement (anti-Castro)		Bombing/Explosion	Explosives/Bombs/Dynamite		Projectile (rockets, mortars, RPGs)		Diplomatic			Embassies/Consulates			No	No	0	0	0	0	No	No	-99	-99		No				"The Gazette, 5 Sept 1967, 3; The Gazette, 16 Oct, 1967; Globe and Mail, 5 Sept 1967, 8; Ottawa Citizen, 5 Sept 1967, 1; Ottawa Journal, 5 Sept 1967, 1"	"Kellett, A., Beanlands, B., Deacon, J., Jeffrey, H., & Lapalme, C. (1991). Terrorism in Canada 1960-1989, User Report no. 1990-16. Ottawa: Solicitor General Canada, National Security Coordination Centre, Police and Security Branch. p. 173."	"Ross, Jeffrey I. (1992). ATIC IV: Chronology of Domestic and International Terrorist Events in Canada, 1960-1990. Montreal, Qc: International Centre for Comparative Criminology. p. 38"						
13453	19670912110304001	1967	9	12													"09/12/1967: Two days after Rassemblement pour l'Independance Nationale (RIN) demonstrations in support of a French school in Pierrefonds on the West Island, two bombs were defused at MacDonald High School, located in another West Island community."	0	Canada	Quebec	Saint-Anne-de-Bellevue	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	0			Bombing/Explosion	Explosives/Bombs/Dynamite		Unknown Explosive Type		Educational Institution			Schools/Universities/Educational Buildings			Yes	No	0	0	0	0	No	No	-99	-99		Yes	Lack of Intentionality			"Fournier, 1984: 113"	"Kellett, A., Beanlands, B., Deacon, J., Jeffrey, H., & Lapalme, C. (1991). Terrorism in Canada 1960-1989, User Report no. 1990-16. Ottawa: Solicitor General Canada, National Security Coordination Centre, Police and Security Branch. p. 369"	"Ross, Jeffrey I. (1992). ATIC IV: Chronology of Domestic and International Terrorist Events in Canada, 1960-1990. Montreal, Qc: International Centre for Comparative Criminology. p. 36"						
13445	19670919110314001	1967	9	19	19	0				19	0						"09/19/1967: Shortly after 7:00 p.m. a bomb wrapped in a brown paper sack, and placed in an Expo 67 flight bag, was discovered under a Centennial caravan in south shore Greenfield Park. The bomb consisted of a battery and an empty propane gas cylinder taped to an alarm clock. The device was removed from the area and exploded with a plastic charge. The Centennial caravan promoted Canada's 100th birthday. This was the second incident of its kind in Greenfield Park in two months."	0	Canada	Quebec	Montreal	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	-88	0			Bombing/Explosion	Explosives/Bombs/Dynamite		Time Fuse		Private Citizens & Property			Public Areas (e.g., Public garden, parking lot, garage, beach, public buildings, camps)			Yes	No	0	0	0	0	Yes	No	-99	-99		No				"The Gazette, 20 Sept 1967, 21"	"Kellett, A., Beanlands, B., Deacon, J., Jeffrey, H., & Lapalme, C. (1991). Terrorism in Canada 1960-1989, User Report no. 1990-16. Ottawa: Solicitor General Canada, National Security Coordination Centre, Police and Security Branch. p. 370."							
13454	19670924110303001	1967	9	24													"09/24/1967: A three and a half inch ""bazooka"" rocket, attached to a clock and a battery, was found in the bushes near ""Africa Place"" on the Expo 67 grounds minutes before United Nations Secretary General U Thant arrived at the scene. It was defused six minutes before the time it was set to explode. The rocket was similar to one found near Cuba's Expo pavilion on 8/04/1967 (anti-Castro Cuban groups often used rocket propelled grenades). U Thant's visit to Expo was cancelled. At 8:30 a.m. an Expo security guard found a note written on toilet paper, in the west wing of Habitat 67 where U Thant was resting, warning that a bomb was set to go off one hour later. The warning proved to be a hoax."	0	Canada	Quebec	Montreal	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	0			Bombing/Explosion	Explosives/Bombs/Dynamite		Projectile (rockets, mortars, RPGs)		Diplomatic			Diplomats/Families/Individuals (outside of embassy)			Yes	No	0	0	0	0	No	No	-99	-99		Yes	Lack of Intentionality			"The Gazette, 25 Sept 1967, 1; The Gazette, 26 Sept 1967, 8"	"Kellett, A., Beanlands, B., Deacon, J., Jeffrey, H., & Lapalme, C. (1991). Terrorism in Canada 1960-1989, User Report no. 1990-16. Ottawa: Solicitor General Canada, National Security Coordination Centre, Police and Security Branch. p. 370"							
13446	19671001110314001	1967	10	1													"10/01/1967: In the residential area of Rosemere, a Front de Liberation du Quebec (FLQ) bomb exploded against the wall of the home of the manager of the Seven-Up bottling plant located in Ville Mont-Royal; the fire was in the middle of an extended labour dispute that had been marked by violence. The bomb was planted by a member of an FLQ cell. "	0	Canada	Quebec	Montreal	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	1	0	Front de Libération du Québec (FLQ)		Bombing/Explosion	Explosives/Bombs/Dynamite		Unknown Explosive Type		Private Citizens & Property			Houses/Apartments/Residence	Industrial/Textiles/Factories		Yes	No	0	0	0	0	Yes	No	-99	-99		No				"Fournier, 1984: 119"	"Kellett, A., Beanlands, B., Deacon, J., Jeffrey, H., & Lapalme, C. (1991). Terrorism in Canada 1960-1989, User Report no. 1990-16. Ottawa: Solicitor General Canada, National Security Coordination Centre, Police and Security Branch. p. 371."	"Ross, Jeffrey I. (1992). ATIC IV: Chronology of Domestic and International Terrorist Events in Canada, 1960-1990. Montreal, Qc: International Centre for Comparative Criminology. p. 36"						
13455	19671012110319001	1967	10	12													"10/12/1967: Two men were arrested while boarding an Expo train at Place d'Acceuil. One of them was carrying a paper-wrapped parcel containing 14 sticks of dynamite, 100 non-electrical detonators, five electrical detonators, a battery, and some wire."	0	Canada	Quebec	Montreal	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	0			Bombing/Explosion	Explosives/Bombs/Dynamite		Unknown Explosive Type		Transportation (Other than aviation)			Train/Train Tracks/ Trolley			Yes	No	0	0	0	0	No	No	-99	-99		Yes	Lack of Intentionality			"The Gazette, 14 Oct 1967, 3; The Gazette, 21 Oct 1967, 6"	"Kellett, A., Beanlands, B., Deacon, J., Jeffrey, H., & Lapalme, C. (1991). Terrorism in Canada 1960-1989, User Report no. 1990-16. Ottawa: Solicitor General Canada, National Security Coordination Centre, Police and Security Branch. p. 370"							
13447	19671015110303001	1967	10	15	12	0				12	0						"10/15/1967: Around noon, an office building housing the Cuban Trade Mission and a number of professional firms was badly damaged by a homemade bomb that exploded on its eighth floor. The bomb, consisting of several sticks of dynamite with an alarm clock timer, was placed in the offices of Cubana, Seguin and Associates, a publishing company. No one was injured, but considerable damage resulted from the explosion; floors and walls collapsed and pipes throughout many offices split open. Although planted on a lower floor, police believed that the Cuban mission was the target. No one claimed responsibility."	0	Canada	Quebec	Montreal	Does not adhere to the ideology	Does adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	-88	0			Bombing/Explosion	Explosives/Bombs/Dynamite		Time Fuse		Diplomatic			Embassies/Consulates			No	No	0	0	0	0	Yes	No	-99	-99		No				"The Gazette, 16 Oct 1967, 3; Sawatsky, 1980: 2"	"Kellett, A., Beanlands, B., Deacon, J., Jeffrey, H., & Lapalme, C. (1991). Terrorism in Canada 1960-1989, User Report no. 1990-16. Ottawa: Solicitor General Canada, National Security Coordination Centre, Police and Security Branch. p. 174."	RWVIC p. 26						
13448	19671016110302001	1967	10	16													"10/16/1967: A Front de Liberation du Quebec (FLQ) bomb exploded during a strike at the Seven-Up bottling plant in Ville Mont-Royal. The labour conflict at the plant lasted 13 months, and was one the most violent in the history of Quebec unionism. This attack was the handiwork of a new FLQ cell that tended to choose labour-related targets (another, and still more active labour-related cell began operations in May 1968)."	0	Canada	Quebec	Montreal	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	-88	0	Front de Libération du Québec (FLQ)		Bombing/Explosion	Explosives/Bombs/Dynamite		Unknown Explosive Type		Business			Industrial/Textiles/Factories			Yes	No	0	0	0	0	Yes	No	-99	-99		No				"Fournier, 1984: 118-119"	"Kellett, A., Beanlands, B., Deacon, J., Jeffrey, H., & Lapalme, C. (1991). Terrorism in Canada 1960-1989, User Report no. 1990-16. Ottawa: Solicitor General Canada, National Security Coordination Centre, Police and Security Branch. p. 370."	"Ross, Jeffrey I. (1992). ATIC IV: Chronology of Domestic and International Terrorist Events in Canada, 1960-1990. Montreal, Qc: International Centre for Comparative Criminology. p. 36"						
13449	19671016110303001	1967	10	16													"10/16/1967: Bombs exploded at the Cuban Trade Office in Montreal. Blast also hit Cubana Seguin and Associates Ltd., a publishing company. The company's offices were destroyed. Doors of elevators were blown off from their tracks from the seventh to the 12th floors. Pipes were split. No injuries. No one claimed responsibility. "	0	Canada	Quebec	Montreal	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	0			Bombing/Explosion	Explosives/Bombs/Dynamite		Unknown Explosive Type		Diplomatic			Embassies/Consulates			No	No	0	0	0	0	Yes	No	-99	-99		No				"Charters, 1987, 1 (only lists year); The Montreal Star, 16 Oct 1967, 3; The Gazette,  16 Oct 1967, 3; Sawatsky, 1980, 2; Globe and Mail, 17 Oct 1967, 39"	"Ross, Jeffrey I. (1992). ATIC IV: Chronology of Domestic and International Terrorist Events in Canada, 1960-1990. Montreal, Qc: International Centre for Comparative Criminology. p. 38"							
13450	19671107091003001	1967	11	7													"11/07/1967: Anti-Bolshevik demonstration in Ottawa. About 300-400 demonstrators, members of a dozen organizations representing Canadians of Eastern European background picketed the Soviet Embassy in Ottawa on the 50th anniversary of the communist revolution attended by 350-400 guests. The purpose was to deliver a message calling for the release of prisoners, the withdrawal of Soviet forces from satellite countries, and free elections within the USSR. The demonstrators tossed paint, eggs, stones, and bottles at the Soviet Embassy. Three windows were smashed and red paint was splattered across the steps. Several red flags were burned. Police arrested five persons and charged them with creating a disturbance. Among the groups represented were the Hungarian Freedom Fighters Association. Ten city policemen sent to the Embassy were reinforced by 20 constables and ten plainclothes officers."	0	Canada	Ontario	Ottawa	Does adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	-88	1	Hungarian Freedom Fighters Association		Unarmed Assault	Primitive/Melee		Blunt Object		Diplomatic			Embassies/Consulates			No	No	0	0	0	0	Yes	No	-99	-99	1	-88				"Jackson, Kelly and Mitchell, 296; Globe and Mail, 7 Nov 1967; Globe and Mail, 8 Nov 1967, 1, 9; Ottawa Citizen, 8 Nov 1967, 3"	RWVIC p. 27							
13456	19680212110302001	1968	2	12													02/12/1968: Front de Liberation du Quebec bombed the St. Leonard branch of the Royal Bank in Montreal. Called Gazette. Only one of three sticks of dynamite exploded.	0	Canada	Quebec	Montreal	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	-88	0	Front de Libération du Québec (FLQ)		Bombing/Explosion	Explosives/Bombs/Dynamite		Unknown Explosive Type		Business			Bank/Commerce			Yes	No	0	0	0	0	Yes	No	-99	-99		No				"Fournier, 124; The Gazette , 13 Feb 1968, 3"	"Ross, Jeffrey I. (1992). ATIC IV: Chronology of Domestic and International Terrorist Events in Canada, 1960-1990. Montreal, Qc: International Centre for Comparative Criminology. p. 37"							
13458	19680227110702001	1968	2	27													"02/27/1968: Molotov Cocktails were thrown at the strikebound Seven Up bottling plant in the Town of Mount Royal during a demonstration. Windows of homes, private businesses, and cars, traffic signs, and park lights were damaged. No claims of responsibility."	0	Canada	Quebec	Montreal	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	0			Facility/Infrastructure Attack	Incendiary		Blunt Object		Business			Industrial/Textiles/Factories			Yes	No	0	0	0	0	Yes	No	-99	-99		No				"The Gazette, 28 Feb 1968, 1, 3, 17; The Montreal Star, 28 Feb 1968, 1, 4; Globe and Mail, 28 Feb 1968, 2"	"Ross, Jeffrey I. (1992). ATIC IV: Chronology of Domestic and International Terrorist Events in Canada, 1960-1990. Montreal, Qc: International Centre for Comparative Criminology. p. 38"							
13457	19680227110306001	1968	2	27													"02/27/1968: A bomb was discovered when a mailman opened a mail deposit box at the corner of Simcoe Ave. and Graham Boulevard. This was close to a strike-bound Seven Up plant where Front de Liberation du Quebec (FLQ) members were participating in a violent labour demonstration. It was described as a small, but lethal device. The device was dismantled. A note attached to the bomb carried the letters ""FLQ"". The bomb was near the scene of a demonstration of more than 2,000 unionists and students who set fire to protective plywood panels over the windows of the Seven-up plant in Mt. Royal. Six people were reportedly arrested and dozens injured although not seriously."	0	Canada	Quebec	Montreal	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	-88	0	Front de Libération du Québec (FLQ)		Bombing/Explosion	Explosives/Bombs/Dynamite		Unknown Explosive Type		Government			Government Buildings/Facilities			Yes	No	0	0	0	0	No	No	-99	-99		No				"The Gazette, 28 Feb 1968, 1; The Montreal Star, 28 Feb 1968, 1, 4; Globe and Mail, 28 Feb 1968, 2"	"Kellett, A., Beanlands, B., Deacon, J., Jeffrey, H., & Lapalme, C. (1991). Terrorism in Canada 1960-1989, User Report no. 1990-16. Ottawa: Solicitor General Canada, National Security Coordination Centre, Police and Security Branch. p. 247."	"Ross, Jeffrey I. (1992). ATIC IV: Chronology of Domestic and International Terrorist Events in Canada, 1960-1990. Montreal, Qc: International Centre for Comparative Criminology. p. 38"						
13459	19680320090214001	1968	3	20													"03/20/1968: Two Yugoslavian immigrants who were called ""stinking DP's"" and told to ""go back where you came from,"" were attacked by a group of five youths in Withrow Park in Toronto. One of the victims received a knife wound in the neck and another in the hip. According to the Telegram article two youths were charged with wounding and assault causing bodily harm after a man was stabbed in the back during a fight in Withrow park. Joseph Musa 21, received nine stitches to close a wound in his back said police. Vincent Cassier, 18, and Bruce Wright were charged with possession of an offensive weapon."	0	Canada	Ontario	Toronto	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	Does not adhere to the ideology	5	0			Armed Assault	Primitive/Melee		Knife or Other Sharp Object		Private Citizens & Property			Race/Ethnicity Identified			Yes	No	0	2	0	-88	Yes	No	-99	-99	1	-88				"Globe and Mail, 22 Mar 1968; Toronto Star, 22 Mar 1968; The Telegram, 20 Mar 1968, 5"	RWVIC p. 28							
13460	19680329110706001	1968	3	29													03/29/1968: Three youths threw Molotov cocktails against the wall of a municipal pound in Montreal.  They broke a few windows and burned some woodwork.	0	Canada	Quebec	Montreal	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	0			Facility/Infrastructure Attack	Incendiary		Blunt Object		Government			Government Buildings/Facilities			Yes	No	0	0	0	0	Yes	No	-99	-99		Yes	Lack of Intentionality			"Montreal Star, 12 Nov 1968, 2; The Montreal Star, 30 Mar 1968, 3 "	"Ross, Jeffrey I. (1992). ATIC IV: Chronology of Domestic and International Terrorist Events in Canada, 1960-1990. Montreal, Qc: International Centre for Comparative Criminology. p. 39"							
13461	19680413090303001	1968	4	13													04/13/1968: Two time bombs exploded at the Yugoslav Embassy in Ottawa. Croatian terrorists were believed to be responsible.	0	Canada	Ontario	Ottawa	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	1	Croatian Exiles		Bombing/Explosion	Explosives/Bombs/Dynamite		Time Fuse		Diplomatic			Embassies/Consulates			No	No	0	0	0	0	Yes	No	-99	-99		No				"Mickolus, 1980, 87; Kellett, 1981, 61; Charters, 1987, 1; Kellett, 1988, A-1"	"Kellett, A., Beanlands, B., Deacon, J., Jeffrey, H., & Lapalme, C. (1991). Terrorism in Canada 1960-1989, User Report no. 1990-16. Ottawa: Solicitor General Canada, National Security Coordination Centre, Police and Security Branch. p. 371"	RAND	"Mickolus, Edward F. (1980). Trasnational Terrorism: Chronology of Events, 1968-1979.  Westport, CT: Greenwood Press. p. 174."	"Ross, Jeffrey I. (1992). ATIC IV: Chronology of Domestic and International Terrorist Events in Canada, 1960-1990. Montreal, Qc: International Centre for Comparative Criminology. p. 133"	RWVIC p. 29			
13534	19680417110708001	1968	4	17													"04/17/1968: A French-language newspaper and radio reporter's car was hit by a fire bomb outside the offices of Montreal-Marin. The reporter had just left the vehicle when the bomb, composed of a lead pipe stuffed with gasoline-soaked cotton, was hurled through the rear window, causing extensive damage."	0	Canada	Quebec	Montreal	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	0			Facility/Infrastructure Attack	Incendiary		Blunt Object		Journalists & Media			Newspaper Journalists/Staff/Facilities	Radio Journalists/Staff/Facilities		Yes	No	0	0	0	0	Yes	No	-99	-99		Yes	Lack of Intentionality			"The Gazette, 18 Apr 1968, 3"	"Kellett, A., Beanlands, B., Deacon, J., Jeffrey, H., & Lapalme, C. (1991). Terrorism in Canada 1960-1989, User Report no. 1990-16. Ottawa: Solicitor General Canada, National Security Coordination Centre, Police and Security Branch. p. 371"							
13462	19680427091013001	1968	4	27													"04/27/1968: An Anti-Vietnam war demonstration numbering 3,000 in Toronto organized by a broad coalition of Toronto peace groups (particularly the Spring Mobilization Committee against the War in Vietnam) against the U.S. role in the Vietnam war began at Queen's Park then moved to Nathan Phillips Square then moved on to the U.S. Consulate. There was a confrontation with the 100 pro-war demonstrators of the Edmund Burke Society who met them there. 500 to 1,500 persons marched to the Consulate. A placard swinging scuffle broke out. The police intervened in the melee that broke out. They moved in on horseback and on foot. Nine people were arrested during the incident. Five of the nine arrested were from a group called the Canadians for the National Liberation Front. A police inspector was left bleeding from facial cuts. After separating the groups a peace marcher doused an American flag with lighter fluid and set it on fire. Another melee began and Kevin G. Henly 21, was charged with assaulting Inspector Charles Surphliss and Constable Abraham Van Der Groef."	0	Canada	Ontario	Toronto	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	0	Spring Mobilization Committee against the War in Vietnam	Canadians for the National Liberation Front	Unarmed Assault	Primitive/Melee		Blunt Object		Police	Private Citizens & Property		Police Security Forces/Officers	Unnamed Civilians/Unspecified		Yes	No	0	-88	0	-88	Yes	No	-99	-99	1	-88				"Jackson, Kelly and Mitchell, 296; Ross Munro, ""Nine arrested during demonstrations on Vietnam"", Globe and Mail, 29 Apr 1968, 1, 4, 17; Toronto Star, 29 Apr 1968, A1; ""Clash at US Consulate"", Toronto Telegram, 21 Apr 1968, 21; The Star, Weekly Magazine, 13 July 1968, 38"	RWVIC p. 30							
